frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
296,yolo_fasternet,2.067,39.285,0.255,41.914,7,0.8222,0.0,52.9
297,yolo_fasternet,1.786,39.465,0.255,41.758,7,0.8331,0.0,52.9
298,yolo_fasternet,1.863,46.573,0.264,48.969,8,0.6807,0.0,48.7
299,yolo_fasternet,2.072,39.862,0.253,42.5,7,0.7863,0.0,54.3
300,yolo_fasternet,1.571,45.55,0.255,47.639,5,0.7366,0.0,59.0
301,yolo_fasternet,1.728,42.109,0.256,44.378,7,0.7126,0.0,55.3
302,yolo_fasternet,1.597,40.04,0.254,42.163,7,0.7224,0.0,52.9
303,yolo_fasternet,1.557,40.898,0.258,42.957,9,0.6263,0.0,51.4
304,yolo_fasternet,2.048,40.014,0.249,42.631,7,0.6529,0.0,50.0
305,yolo_fasternet,1.58,40.073,0.254,42.154,7,0.6345,0.0,54.3
306,yolo_fasternet,1.589,40.929,0.259,43.022,9,0.6218,0.0,51.4
307,yolo_fasternet,1.883,56.465,0.305,58.948,8,0.6847,0.0,52.1
308,yolo_fasternet,1.807,54.709,0.299,57.149,6,0.7034,0.0,52.2
309,yolo_fasternet,1.556,38.737,0.246,40.788,9,0.6577,0.0,51.4
310,yolo_fasternet,1.754,45.083,0.247,47.358,6,0.7356,0.0,51.4
311,yolo_fasternet,1.507,38.835,0.26,40.835,5,0.8313,0.0,51.4
312,yolo_fasternet,2.039,41.156,0.253,43.769,6,0.7451,0.0,51.4
313,yolo_fasternet,1.627,40.336,0.249,42.531,6,0.7219,0.0,52.9
314,yolo_fasternet,1.596,39.738,0.264,41.84,6,0.7196,0.0,51.4
315,yolo_fasternet,1.867,48.878,0.253,51.273,6,0.752,0.0,51.2
316,yolo_fasternet,1.602,39.573,0.276,41.699,7,0.7645,0.0,51.4
317,yolo_fasternet,1.839,45.725,0.263,48.096,8,0.6484,0.0,51.3
318,yolo_fasternet,1.56,39.335,0.249,41.395,6,0.8335,0.0,51.5
319,yolo_fasternet,1.565,39.846,0.252,41.906,7,0.7439,0.0,50.0
320,yolo_fasternet,1.831,46.542,0.255,48.913,6,0.8307,0.0,51.3
321,yolo_fasternet,1.829,52.601,0.242,54.936,7,0.7563,0.0,51.1
322,yolo_fasternet,1.536,38.233,0.242,40.249,6,0.837,0.0,51.5
